ZIPCODE,parkcount
10122,0
10065,5
10069,1
10453,26
10452,36
10451,30
10457,37
10456,32
10455,13
10454,21
10105,0
10104,0
10459,25
10458,15
11232,3
10103,0
11233,37
11385,18
11234,20
11235,15
11222,13
11237,4
10043,0
10286,0
10055,0
10285,0
10282,1
10280,3
10281,1
10203,0
10118,0
10119,0
10115,0
10112,0
10110,0
10111,0
10196,0
11109,0
11379,7
11378,20
11102,12
11103,4
11377,22
11101,15
11106,7
11370,0
11104,2
11105,6
11375,13
11374,6
10278,0
10048,0
10260,0
11229,10
10040,6
10041,1
11228,8
10044,0
10045,0
10047,0
11201,42
11203,7
10128,7
11205,14
11204,4
11207,55
10027,27
11209,15
11208,35
10121,0
11372,6
10024,9
11224,19
10106,0
11368,18
11369,13
11366,2
11367,10
11364,14
11365,9
11362,12
11363,5
11360,9
10023,14
11221,22
10123,0
11220,13
11040,0
11212,38
11213,9
11210,6
11211,37
10039,12
10038,11
11214,11
11215,20
10035,2
10034,6
10037,10
11219,6
10031,15
10030,10
10033,8
10032,17
11359,3
11358,4
11005,1
11004,3
11697,0
11694,14
11357,11
11356,8
11355,6
11354,12
11216,18
11451,1
11217,10
11096,0
10309,15
10308,7
10307,4
10306,13
10305,14
10304,16
10303,10
10302,6
10301,26
10259,0
10028,4
10029,25
10026,11
11226,5
11225,8
10025,14
11223,13
11218,13
10020,0
10021,3
10036,6
10169,0
10168,0
11429,8
11428,1
10166,0
11421,4
11420,10
11423,6
11422,6
11427,5
11426,9
10152,0
10153,0
10151,0
10154,0
10155,0
10310,12
10312,29
10314,30
11001,0
11231,0
10162,0
11238,19
11239,6
10019,4
10018,2
10271,0
11230,7
10012,11
10011,6
10010,4
10017,8
10016,5
11236,15
10014,15
10097,0
10096,0
10270,0
11432,8
11433,11
11430,3
11436,4
10022,9
11434,10
11435,10
10004,0
10005,1
10006,0
10007,4
10001,7
10002,29
10003,11
10167,0
11692,13
10165,0
11206,34
10009,40
10279,0
11693,0
10475,4
10474,9
10471,12
10470,4
10473,19
10472,14
11691,21
11361,9
10120,0
11249,15
10080,0
10081,0
10107,0
10158,0
10178,0
11371,1
10075,3
10265,0
10170,0
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10466,5
10467,16
10464,3
10465,11
10462,15
10463,1
10460,31
10461,14
10468,16
10469,9
11411,5
11412,3
11413,10
11414,9
11415,5
11416,4
11417,12
11418,1
11419,2
00083,1
11251,0
10013,11
10275,0
11373,21
